name,Var2,zstep_source
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_071.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_072.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_073.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_074.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_075.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_076.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_077.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_078.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_079.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_080.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_081.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_082.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_083.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_084.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_085.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_086.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_087.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_088.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_089.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_On_090.mat,300,default_300nm
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_001.mat,300,BRD4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_002.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_003.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_004.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_005.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_006.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_007.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_008.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_009.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_010.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_011.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_012.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_013.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_014.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_015.mat,300,OCT4_label_z
Promoter_RNA_SCR_3color_LiveSR_Zstack_Off_016.mat,300,OCT4_label_z
